id,name,type,external_id,dataset,platforms,domains,tactics,in_degree,out_degree,total_degree,degree_centrality,in_degree_centrality,out_degree_centrality,betweenness_centrality,closeness_centrality,community_id
campaign--45a98f02-852f-49b2-94c0-c63207bebbbf,Triton Safety Instrumented System Attack,campaign,C0030,enterprise,,ics-attack | enterprise-attack,,0,22,22,0.010073260073260074,0.0,0.010073260073260074,0.0,0.0,0
intrusion-set--a653431d-6a5e-4600-8ad3-609b5af57064,Deep Panda,intrusion-set,G0009,enterprise,,enterprise-attack,,0,17,17,0.007783882783882784,0.0,0.007783882783882784,0.0,0.0,1
campaign--1169ff24-b35f-4d8d-8cf3-643a2834227f,FrostyGoop Incident,campaign,C0041,enterprise,,ics-attack | enterprise-attack,,0,10,10,0.004578754578754579,0.0,0.004578754578754579,0.0,0.0,0
campaign--0c259854-4044-4f6c-ac49-118d484b3e3b,KV Botnet Activity,campaign,C0035,enterprise,,enterprise-attack,,0,20,20,0.009157509157509158,0.0,0.009157509157509158,0.0,0.0,0
intrusion-set--c4d50cdf-87ce-407d-86d8-862883485842,APT-C-36,intrusion-set,G0099,enterprise,,enterprise-attack,,0,10,10,0.004578754578754579,0.0,0.004578754578754579,0.0,0.0,0
intrusion-set--6688d679-ccdb-4f12-abf6-c7545dd767a4,The White Company,intrusion-set,G0089,enterprise,,enterprise-attack,,0,9,9,0.004120879120879121,0.0,0.004120879120879121,0.0,0.0,0
intrusion-set--7ecc3b4f-5cdb-457e-b55a-df376b359446,Poseidon Group,intrusion-set,G0033,enterprise,,enterprise-attack,,0,8,8,0.003663003663003663,0.0,0.003663003663003663,0.0,0.0,1
intrusion-set--abc5a1d4-f0dc-49d1-88a1-4a80e478bb03,LazyScripter,intrusion-set,G0140,enterprise,,enterprise-attack,,0,27,27,0.012362637362637362,0.0,0.012362637362637362,0.0,0.0,1
intrusion-set--2fd2be6a-d3a2-4a65-b499-05ea2693abee,Gallmaker,intrusion-set,G0084,enterprise,,enterprise-attack,,0,6,6,0.002747252747252747,0.0,0.002747252747252747,0.0,0.0,1
intrusion-set--7251b44b-6072-476c-b8d9-a6e32c355b28,MoustachedBouncer,intrusion-set,G1019,enterprise,,enterprise-attack | mobile-attack,,0,12,12,0.005494505494505494,0.0,0.005494505494505494,0.0,0.0,1
intrusion-set--dcd81c6e-ebf7-4a16-93e0-9a97fa49c88a,CopyKittens,intrusion-set,G0052,enterprise,,enterprise-attack,,0,12,12,0.005494505494505494,0.0,0.005494505494505494,0.0,0.0,1
intrusion-set--9b36c218-4d80-4ec6-a68d-cc2886bbe410,Star Blizzard,intrusion-set,G1033,enterprise,,enterprise-attack | mobile-attack,,0,21,21,0.009615384615384616,0.0,0.009615384615384616,0.0,0.0,1
intrusion-set--d69e568e-9ac8-4c08-b32c-d93b43ba9172,Thrip,intrusion-set,G0076,enterprise,,enterprise-attack,,0,7,7,0.003205128205128205,0.0,0.003205128205128205,0.0,0.0,1
campaign--c89fa3ff-4773-4daf-8aec-d8f43f10116e,C0026,campaign,C0026,enterprise,,enterprise-attack,,0,12,12,0.005494505494505494,0.0,0.005494505494505494,0.0,0.0,1
intrusion-set--efed95ba-d7e8-47ff-8c53-99c42426ee7c,PROMETHIUM,intrusion-set,G0056,enterprise,,enterprise-attack,,0,13,13,0.005952380952380952,0.0,0.005952380952380952,0.0,0.0,0
intrusion-set--0ea72cd5-ca30-46ba-bc04-378f701c658f,GCMAN,intrusion-set,G0036,enterprise,,enterprise-attack,,0,2,2,0.0009157509157509158,0.0,0.0009157509157509158,0.0,0.0,1
intrusion-set--6566aac9-dad8-4332-ae73-20c23bad7f02,Ferocious Kitten,intrusion-set,G0137,enterprise,,enterprise-attack,,0,8,8,0.003663003663003663,0.0,0.003663003663003663,0.0,0.0,1
intrusion-set--fe98767f-9df8-42b9-83c9-004b1dec8647,PittyTiger,intrusion-set,G0011,enterprise,,enterprise-attack,,0,7,7,0.003205128205128205,0.0,0.003205128205128205,0.0,0.0,1
intrusion-set--090242d7-73fc-4738-af68-20162f7a5aae,APT17,intrusion-set,G0025,enterprise,,enterprise-attack,,0,3,3,0.0013736263736263735,0.0,0.0013736263736263735,0.0,0.0,4
intrusion-set--be8847e0-9512-45db-895e-f871ab6d3820,Water Galura,intrusion-set,G1050,enterprise,,enterprise-attack,,0,5,5,0.0022893772893772895,0.0,0.0022893772893772895,0.0,0.0,1
intrusion-set--da49b9f1-ca99-443f-9728-0a074db66850,BlackOasis,intrusion-set,G0063,enterprise,,enterprise-attack,,0,1,1,0.0004578754578754579,0.0,0.0004578754578754579,0.0,0.0,0
intrusion-set--e5603ea8-4c36-40e7-b7af-a077d24fedc1,IndigoZebra,intrusion-set,G0136,enterprise,,enterprise-attack,,0,10,10,0.004578754578754579,0.0,0.004578754578754579,0.0,0.0,1
campaign--83e1f587-34da-44cc-b65b-a72479cb1616,SPACEHOP Activity,campaign,C0052,enterprise,,enterprise-attack,,0,4,4,0.0018315018315018315,0.0,0.0018315018315018315,0.0,0.0,1
intrusion-set--76565741-3452-4069-ab08-80c0ea95bbeb,SilverTerrier,intrusion-set,G0083,enterprise,,enterprise-attack,,0,9,9,0.004120879120879121,0.0,0.004120879120879121,0.0,0.0,0
intrusion-set--277d2f87-2ae5-4730-a3aa-50c1fdff9656,Strider,intrusion-set,G0041,enterprise,,enterprise-attack,,0,4,4,0.0018315018315018315,0.0,0.0018315018315018315,0.0,0.0,3
campaign--81e89fb4-8d07-4d8a-82f4-bf084f9d5d53,Pikabot Distribution February 2024,campaign,C0036,enterprise,,enterprise-attack,,0,5,5,0.0022893772893772895,0.0,0.0022893772893772895,0.0,0.0,1
campaign--a82bc5ad-5f95-4c6a-9f25-aaf6f476a3c4,C0033,campaign,C0033,enterprise,,mobile-attack | enterprise-attack,,0,21,21,0.009615384615384616,0.0,0.009615384615384616,0.0,0.0,2
intrusion-set--14225573-63b5-4e50-ba9a-5fdcaf6a7b4c,AppleJeus,intrusion-set,G1049,enterprise,,enterprise-attack,,0,2,2,0.0009157509157509158,0.0,0.0009157509157509158,0.0,0.0,1
intrusion-set--c5574ca0-d5a4-490a-b207-e4658e5fd1d7,Scarlet Mimic,intrusion-set,G0029,enterprise,,enterprise-attack,,0,5,5,0.0022893772893772895,0.0,0.0022893772893772895,0.0,0.0,0
intrusion-set--a5cfbc79-316c-42f2-915d-6e8fef4085f8,TA578,intrusion-set,G1038,enterprise,,enterprise-attack,,0,7,7,0.003205128205128205,0.0,0.003205128205128205,0.0,0.0,1
intrusion-set--d6e88e18-81e8-4709-82d8-973095da1e70,APT16,intrusion-set,G0023,enterprise,,enterprise-attack,,0,2,2,0.0009157509157509158,0.0,0.0009157509157509158,0.0,0.0,9
intrusion-set--2e5d3a83-fe00-41a5-9b60-237efc84832f,Moafee,intrusion-set,G0002,enterprise,,enterprise-attack,,0,2,2,0.0009157509157509158,0.0,0.0009157509157509158,0.0,0.0,0
intrusion-set--025bdaa9-897d-4bad-afa6-013ba5734653,NEODYMIUM,intrusion-set,G0055,enterprise,,enterprise-attack,,0,1,1,0.0004578754578754579,0.0,0.0004578754578754579,0.0,0.0,3
intrusion-set--f3bdec95-3d62-42d9-a840-29630f6cdc1a,DragonOK,intrusion-set,G0017,enterprise,,enterprise-attack,,0,2,2,0.0009157509157509158,0.0,0.0009157509157509158,0.0,0.0,0
intrusion-set--8332952e-b86b-486b-acc3-1c2a85d39394,APT-C-23,intrusion-set,G1028,enterprise,,mobile-attack | enterprise-attack,,0,8,8,0.003663003663003663,0.0,0.003663003663003663,0.0,0.0,2
course-of-action--059ba11e-e3dc-49aa-84ca-88197f40d4ea,Application Isolation and Sandboxing,course-of-action,M0948,ics,,ics-attack,,0,6,6,0.002747252747252747,0.0,0.002747252747252747,0.0,0.0,0
course-of-action--11f242bc-3121-438c-84b2-5cbd46a4bb17,Filter Network Traffic,course-of-action,M0937,ics,,ics-attack,,0,15,15,0.006868131868131868,0.0,0.006868131868131868,0.0,0.0,0
course-of-action--143b4398-3222-480a-b6a4-e131bc2d3144,Restrict Web-Based Content,course-of-action,M0921,ics,,ics-attack,,0,3,3,0.0013736263736263735,0.0,0.0013736263736263735,0.0,0.0,0
course-of-action--1cbcceef-3233-4062-aa86-ec91afe39517,Validate Program Inputs,course-of-action,M0818,ics,,ics-attack,,0,2,2,0.0009157509157509158,0.0,0.0009157509157509158,0.0,0.0,0
course-of-action--1e7ccfc0-94c8-496e-8d27-032120892291,Network Segmentation,course-of-action,M0930,ics,,ics-attack,,0,28,28,0.01282051282051282,0.0,0.01282051282051282,0.0,0.0,0
