id,name,type,external_id,dataset,platforms,domains,tactics,in_degree,out_degree,total_degree,degree_centrality,in_degree_centrality,out_degree_centrality,betweenness_centrality,closeness_centrality,community_id,platform_count,domain_count,tactic_count,name_length,description_length,type_code
malware--0e17b066-50dd-4c2f-83bf-205c5eb2bb34,reGeorg,malware,S1187,enterprise,Network Devices | Windows | macOS | Linux,enterprise-attack,,3,10,13,0.0074031890660592,0.0017084282460136,0.0056947608200455,0.0,0.0017084282460136,1,4,1,0,7,0,4
malware--0e18b800-906c-4e44-a143-b11c72b3448b,FLIPSIDE,malware,S0173,enterprise,Windows,enterprise-attack,,1,1,2,0.0011389521640091,0.0005694760820045,0.0005694760820045,0.0,0.0005694760820045,1,1,1,0,8,0,4
malware--0efefea5-78da-4022-92bc-d726139e8883,Linux Rabbit,malware,S0362,enterprise,Linux,enterprise-attack,,0,6,6,0.0034168564920273,0.0,0.0034168564920273,0.0,0.0,3,1,1,0,12,0,4
malware--0f1ad2ef-41d4-4b7a-9304-ddae68ea3005,adbupd,malware,S0202,enterprise,Windows,enterprise-attack,,1,3,4,0.0022779043280182,0.0005694760820045,0.0017084282460136,0.0,0.0005694760820045,2,1,1,0,6,0,4
malware--0f862b01-99da-47cc-9bdb-db4a86a95bb1,Emissary,malware,S0082,enterprise,Windows,enterprise-attack,,1,15,16,0.0091116173120728,0.0005694760820045,0.0085421412300683,0.0,0.0005694760820045,0,1,1,0,8,0,4
malware--11194d8b-fdce-45d2-8047-df15bb8f16bd,Exaramel for Linux,malware,S0401,enterprise,Linux,enterprise-attack,,1,12,13,0.0074031890660592,0.0005694760820045,0.0068337129840546,0.0,0.0005694760820045,3,1,1,0,18,0,4
malware--11e36d5b-6a92-4bf9-8eb7-85eb24f59e22,KEYMARBLE,malware,S0271,enterprise,Windows,enterprise-attack,,1,11,12,0.0068337129840546,0.0005694760820045,0.0062642369020501,0.0,0.0005694760820045,0,1,1,0,9,0,4
malware--123bd7b3-675c-4b1a-8482-c55782b20e2b,BUBBLEWRAP,malware,S0043,enterprise,Windows,enterprise-attack,,1,3,4,0.0022779043280182,0.0005694760820045,0.0017084282460136,0.0,0.0005694760820045,0,1,1,0,10,0,4
malware--12a7450d-b03e-4990-a5b8-b405ab9c803b,HAWKBALL,malware,S0391,enterprise,Windows,enterprise-attack,,0,11,11,0.0062642369020501,0.0,0.0062642369020501,0.0,0.0,0,1,1,0,8,0,4
malware--12fdf05a-4bd1-4f45-9cde-d3af35f82db1,TAMECAT,malware,S1193,enterprise,Windows,enterprise-attack,,1,9,10,0.0056947608200455,0.0005694760820045,0.005125284738041,0.0,0.0005694760820045,0,1,1,0,7,0,4
