id,name,type,external_id,dataset,platforms,domains,tactics,in_degree,out_degree,total_degree,degree_centrality,in_degree_centrality,out_degree_centrality,betweenness_centrality,closeness_centrality,community_id,cluster_id,is_anomaly,pca_x,pca_y
attack-pattern--1c34f7aa-9341-4a48-bfab-af22e51aca6c,Local Data Staging,attack-pattern,T1074.001,enterprise,ESXi | Linux | macOS | Windows,enterprise-attack,collection,126,1,127,0.0723234624145785,0.071753986332574,0.0005694760820045,6.841500691159006e-05,0.0792576711778105,0,1,1,7.210434767209799,1.185126434667224
attack-pattern--1c4e5d32-1fe9-4116-9d9d-59e3925bd6a2,Match Legitimate Resource Name or Location,attack-pattern,T1036.005,enterprise,Containers | ESXi | Linux | macOS | Windows,enterprise-attack,defense-evasion,205,1,206,0.1173120728929384,0.1167425968109339,0.0005694760820045,7.839219541953028e-05,0.1212551779095905,0,1,1,12.021642127386016,2.229694463978547
attack-pattern--1cec9319-743b-4840-bb65-431547bce82a,Digital Certificates,attack-pattern,T1587.003,enterprise,PRE,enterprise-attack,resource-development,8,1,9,0.005125284738041,0.0045558086560364,0.0005694760820045,0.0,0.0045558086560364,1,2,0,0.186315174520319,-1.523504129450747
attack-pattern--1cfcb312-b8d7-47a4-b560-4b16cc677292,Stored Data Manipulation,attack-pattern,T1565.001,enterprise,Linux | macOS | Windows,enterprise-attack,impact,6,1,7,0.0039863325740318,0.0034168564920273,0.0005694760820045,0.0,0.0038439635535307,0,2,0,0.4694768870059462,-1.906864327824885
attack-pattern--1d24cdee-9ea2-4189-b08e-af110bf2435d,Password Cracking,attack-pattern,T1110.002,enterprise,Linux | macOS | Windows | Network Devices | Office Suite | Identity Provider,enterprise-attack,credential-access,8,1,9,0.005125284738041,0.0045558086560364,0.0005694760820045,5.7012505759658385e-06,0.0046127562642369,1,2,0,0.8641047440891233,-2.1186547248525605
attack-pattern--1e9eb839-294b-48cc-b0d3-c45555a2a004,Local Email Collection,attack-pattern,T1114.001,enterprise,Windows,enterprise-attack,collection,20,1,21,0.0119589977220956,0.0113895216400911,0.0005694760820045,1.1402501151931675e-05,0.0169996306101089,1,2,0,0.995255563746995,-1.2492419871029952
attack-pattern--1eaebf46-e361-4437-bc23-d5d65a3b92e3,Keychain,attack-pattern,T1555.001,enterprise,macOS,enterprise-attack,credential-access,12,1,13,0.0074031890660592,0.0068337129840546,0.0005694760820045,2.8506252879829193e-06,0.0133994372236366,3,2,0,0.2513876192290318,-1.1760338738165637
attack-pattern--1ecb2399-e8ba-4f6b-8ba7-5c27d49405cf,Boot or Logon Autostart Execution,attack-pattern,T1547,enterprise,Linux | macOS | Windows | Network Devices,enterprise-attack,persistence | privilege-escalation,20,0,20,0.0113895216400911,0.0113895216400911,0.0,0.0,0.1044154201395833,5,2,0,3.3303566555003186,-2.617079620166866
attack-pattern--1ecfdab8-7d59-4c98-95d4-dc41970f57fc,LSA Secrets,attack-pattern,T1003.004,enterprise,Windows,enterprise-attack,credential-access,22,1,23,0.0130979498861047,0.0125284738041002,0.0005694760820045,2.5655627591846275e-06,0.0280789673500379,1,2,0,1.026124473540808,-0.8919694698211467
attack-pattern--1f9012ef-1e10-4e48-915e-e03563435fe8,Weaken Encryption,attack-pattern,T1600,enterprise,Network Devices,enterprise-attack,defense-evasion,2,0,2,0.0011389521640091,0.0011389521640091,0.0,0.0,0.0011389521640091,7,2,0,-0.2879248501876553,-2.001643158434453
